id,created_at,updated_at,status,code_sap,name,fantasy,system,retroactive,owner
118,2019-12-03 15:55:28,2020-02-14 12:17:01,True,10544928,COOP AGROP DE PERDIZES LTDA,COOPERDIZES,,,1
151,2019-12-03 15:55:28,2020-02-14 13:02:51,True,10550649,COOP TRIT SEPEENSE LTDA,COTRISEL,,,1
83,2019-12-03 15:55:28,2020-05-05 16:40:01,True,10546200,COML AGROP SINUELO LTDA,AGROSINUELO,,,1
88,2019-12-03 15:55:28,2020-03-02 16:50:31,True,10468995,COOP AGRARIA DE MACHADO LTDA,COOPAMA,,,1
91,2019-12-03 15:55:28,2020-03-02 17:16:42,True,10433963,COOP AGRIC CATARINENSE DE CEREAIS,COACCER,,,1
96,2019-12-03 15:55:28,2020-03-02 17:24:16,True,10433626,COOP AGRIC MISTA IRAI LTDA,COPAMIL,,,1
102,2019-12-03 15:55:28,2020-05-05 16:41:48,True,10552327,COOP AGRICOLA DO SUL,COPASUL,,,1
108,2019-12-03 15:55:28,2020-03-06 16:18:52,True,10433617,COOP AGROINDL ALFA,COOPERALFA,,,1
106,2019-12-03 15:55:28,2020-04-27 15:13:02,True,10548135,COOP AGRO PECUARIA DE CARMO DO PA,CARPEC,,,1
117,2019-12-03 15:55:28,2020-04-15 15:43:34,True,10546957,COOP AGROP DE PEDRINHAS PAULISTA,COOPEDRINHAS,,,1
78,2019-12-03 15:55:28,2020-05-05 16:25:57,True,10433771,COCARI COOPERATIVA AGROP INDL,COCARI,,,1
80,2019-12-03 15:55:28,2020-05-05 15:57:09,True,10433981,COM INS MAQ AGRIC STO AUGUSTO LTDA,IMACOL,,,1
81,2019-12-03 15:55:28,2020-05-05 16:04:50,True,10512817,COMID MAQUINAS LTDA,COMID,,,1
147,2019-12-03 15:55:28,2020-05-05 16:30:35,True,10467825,COOP TRIT DE SARANDI LTDA,COTRISAL,,,1
79,2019-12-03 15:55:28,2020-05-05 16:39:50,True,10547482,COM DE INSUMOS AGRICOLAS PAZINATO L,CAPA,,,1
154,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10433618,COOPERATIVA AGRARIA AGROINDUSTRIAL,AGRARIA,,,1
